n,gate_error_rate,trials,acceptance_pct,acc_ci_lower,acc_ci_upper,correctness_pct,cor_ci_lower,cor_ci_upper
4,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.005,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.01,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.02,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.05,50,100.0,92.9,100.0,100.0,92.9,100.0
4,0.1,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
5,0.005,50,98.0,89.5,99.6,98.0,89.5,99.6
5,0.01,50,96.0,86.5,98.9,96.0,86.5,98.9
5,0.02,50,96.0,86.5,98.9,96.0,86.5,98.9
5,0.05,50,96.0,86.5,98.9,96.0,86.5,98.9
5,0.1,50,98.0,89.5,99.6,98.0,89.5,99.6
6,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.001,50,100.0,92.9,100.0,100.0,92.9,100.0
6,0.005,50,0.0,0.0,7.1,0.0,0.0,7.1
6,0.01,50,6.0,2.1,16.2,6.0,2.1,16.2
6,0.02,50,0.0,0.0,7.1,0.0,0.0,7.1
6,0.05,50,2.0,0.4,10.5,2.0,0.4,10.5
6,0.1,50,2.0,0.4,10.5,2.0,0.4,10.5
7,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
7,0.001,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.005,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.01,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.02,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.05,50,0.0,0.0,7.1,0.0,0.0,7.1
7,0.1,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.0,50,100.0,92.9,100.0,100.0,92.9,100.0
8,0.001,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.005,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.01,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.02,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.05,50,0.0,0.0,7.1,0.0,0.0,7.1
8,0.1,50,0.0,0.0,7.1,0.0,0.0,7.1
